Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volatility,Volume_SMA,Volume_Ratio,Signal,Position,Market_Trend,Daily_Return,Strategy_Return,Cumulative_Return,Cumulative_Market_Return,Portfolio_Value,Peak,Drawdown
2023-07-18,29856.5625,30233.65625,29556.427734375,30147.0703125,13138897269,,,,,0.0,0.0,0.0,,,,,,,,0,0,-1,,,,,,,
2023-07-19,29913.923828125,30184.181640625,29794.26953125,29862.046875,12128602812,,,,100.0,1.2869528745977732,0.7149738192209851,0.5719790553767881,,,,,,,,0,0,-1,0.0019212301525000086,0.0,1.0,1.0019212301525,100000.0,100000.0,0.0
2023-07-20,29792.015625,30195.53125,29638.095703125,29915.25,14655207121,,,,30.406686656552267,-2.1405326788699313,-0.45531572917693125,-1.685216949693,,,,,,,,0,0,-1,-0.0040752996439197275,-0.0,1.0,0.9978381009200239,100000.0,100000.0,0.0
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818,,,,59.482772795210074,0.5674773186874518,-0.10884111946677445,0.6763184381542262,,,,,,,,0,0,-1,0.0039181140710413676,0.0,1.0,1.0017477444238598,100000.0,100000.0,0.0
2023-07-22,29771.802734375,29991.615234375,29664.12109375,29908.697265625,7873300598,,,,38.93232539156615,-3.4221910951600876,-1.0944878280856798,-2.3277032670744076,,,,,,,,0,0,-1,-0.004578641136054662,-0.0,1.0,0.9971611009932908,100000.0,100000.0,0.0
2023-07-23,30084.5390625,30330.640625,29741.52734375,29790.111328125,9220145050,,,,66.9848371455074,7.616591443907964,1.2666989812629308,6.349892462645034,,,,,,,,0,0,-1,0.010504447141318263,0.0,1.0,1.0076357270700536,100000.0,100000.0,0.0
2023-07-24,29176.916015625,30093.39453125,28934.294921875,30081.662109375,15395817395,,,,27.500948860161685,-26.552176397421135,-5.7735162370188995,-20.778660160402236,,,,,,,,0,0,-1,-0.03016908602087709,-0.0,1.0,0.9772362781423681,100000.0,100000.0,0.0
2023-07-25,29227.390625,29353.16015625,29062.43359375,29178.970703125,10266772793,,,,29.97301986903119,-46.63589771958141,-15.593514924532766,-31.042382795048642,,,,,,,,0,0,-1,0.0017299501204297574,0.0,1.0,0.9789268481594289,100000.0,100000.0,0.0
2023-07-26,29354.97265625,29675.552734375,29113.912109375,29225.759765625,13497554655,,,,35.920700036575,-53.50410303298122,-24.351048852981798,-29.153054179999423,,,,,,,,0,0,-1,0.004365152978824893,0.0,1.0,0.9832000136067237,100000.0,100000.0,0.0
2023-07-27,29210.689453125,29560.966796875,29099.3515625,29353.798828125,10770779217,,,,32.553345934172455,-65.02973279077196,-33.46543544940869,-31.56429734136327,,,,,,,,0,0,-1,-0.004915119656712763,-0.0,1.0,0.978367467893365,100000.0,100000.0,0.0
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952,,,,37.3147461638997,-66.6629300940549,-40.72885758929501,-25.93407250475989,,,,,,,,0,0,-1,0.0037163327075591113,0.0,1.0,0.982003406914309,100000.0,100000.0,0.0
2023-07-29,29356.91796875,29396.84375,29264.166015625,29319.4453125,6481775959,,,,38.92604411306989,-64.8840202426727,-45.91637349883372,-18.967646743838984,,,,,,,,0,0,-1,0.001284885528077373,0.0,1.0,0.9832651688803759,100000.0,100000.0,0.0
2023-07-30,29275.30859375,29443.169921875,29059.501953125,29357.09375,8678454527,,,,36.723799425216235,-67.31398360109597,-50.4448512145118,-16.86913238658417,,,,,,,,0,0,-1,-0.002779902682116475,-0.0,1.0,0.9805317874001735,100000.0,100000.0,0.0
2023-07-31,29230.111328125,29489.873046875,29131.578125,29278.314453125,11656781982,,,,35.52508102805956,-70.8780358581098,-54.71948868747334,-16.15854717063646,,,,,,,,0,0,-1,-0.0015438698273756435,-0.0,1.0,0.9790179739588237,100000.0,100000.0,0.0
2023-08-01,29675.732421875,29675.732421875,28657.0234375,29230.873046875,18272392391,,,,52.119626336224854,-46.217654696647514,-52.95711383680216,6.7394591401546435,,,,,,,,0,0,-1,0.015245275282999904,0.0,1.0,0.9939433724788308,100000.0,100000.0,0.0
2023-08-02,29151.958984375,29987.998046875,28946.509765625,29704.146484375,19212655598,,,,39.31214556497184,-58.69129012320627,-54.13716456932851,-4.5541255538777605,,,,,,,,0,0,-1,-0.01764989082843693,-0.0,1.0,0.976400380464931,100000.0,100000.0,0.0
2023-08-03,29178.6796875,29375.70703125,28959.48828125,29161.8125,12780357746,,,,40.12055115632252,-65.8222231018517,-56.528013405470894,-9.294209696380811,,,,,,,,0,0,-1,0.0009166006009861949,0.0,1.0,0.9772953496404684,100000.0,100000.0,0.0
2023-08-04,29074.091796875,29302.078125,28885.3359375,29174.3828125,12036639988,,,,37.98756895309098,-77.06956916865602,-60.71169099341229,-16.357878175243727,,,,,,,,0,0,-1,-0.0035843942133476636,-0.0,1.0,0.9737923378444855,100000.0,100000.0,0.0
2023-08-05,29042.126953125,29102.46484375,28957.796875,29075.388671875,6598366353,,,,37.33428196274307,-86.82635457145807,-66.0109947244078,-20.815359847050274,,,,,,,,0,0,-1,-0.0010994270766331304,-0.0,1.0,0.9727217241812414,100000.0,100000.0,0.0
2023-08-06,29041.85546875,29160.822265625,28963.833984375,29043.701171875,7269806994,29432.179296875,,,37.32841032923167,-93.31631064671456,-71.53575404717914,-21.780556599535416,29432.179296875,30111.263923635197,28753.094670114806,0.046145725052191305,0.011536431263047809,11606278660.9,0.6263684688608251,0,0,-1,-9.347950838400898e-06,-0.0,1.0,0.9727126312263843,100000.0,100000.0,0.0
2023-08-07,29180.578125,29244.28125,28724.140625,29038.513671875,13618163710,29398.380078125,,,42.32026183494319,-88.03440052692895,-74.86620129716485,-13.168199229764099,29398.380078125,30055.462140093983,28741.298016156015,0.04470192304629133,0.011175480761572812,11630241982.95,1.170926944595332,0,0,-1,0.004776645775930843,0.0,1.0,0.9773589349075263,100000.0,100000.0,0.0
2023-08-08,29765.4921875,30176.796875,29113.814453125,29180.01953125,17570561357,29390.95849609375,,,57.64064521924951,-43.66226716699748,-68.57902328564161,24.91675611864413,29390.95849609375,30026.523610047338,28755.393382140162,0.04324902258890661,0.01081225564722663,11902339910.2,1.4762274888438094,0,0,-1,0.020044635853149417,0.0,1.0,0.9969497388555697,100000.0,100000.0,0.0
2023-08-09,29561.494140625,30093.435546875,29376.80078125,29766.6953125,18379521213,29379.432421875,,,52.411928393562896,-22.591169608462224,-59.32683728387069,36.735667675408465,29379.432421875,29992.330265947552,28766.53457780245,0.04172291930433666,0.010430729826084163,12088555614.8,1.5204067217507757,0,0,-1,-0.006853508270246889,-0.0,1.0,0.9901171355753026,100000.0,100000.0,0.0
2023-08-10,29429.591796875,29688.564453125,29354.447265625,29563.97265625,11865344789,29355.4748046875,,,49.29801244943487,-15.026943461594783,-50.42481993103858,35.397876469443794,29355.4748046875,29916.5214981932,28794.428111181798,0.03822433104819772,0.009556082762049414,12133183363.35,0.9779251193747681,0,0,-1,-0.004461964714047806,-0.0,1.0,0.9856992678535915,100000.0,100000.0,0.0
2023-08-11,29397.71484375,29517.7734375,29253.517578125,29424.90234375,10195168197,29336.77041015625,,,48.54733883757121,-11.183664866548497,-42.546826701195855,31.363161834647357,29336.77041015625,29863.254638292383,28810.286182020114,0.035892446290125245,0.008973111572531337,12249276743.3,0.8323077689118635,0,0,-1,-0.001083159880198692,-0.0,1.0,0.9846315979527113,100000.0,100000.0,0.0
2023-08-12,29415.96484375,29465.11328125,29357.587890625,29399.787109375,6194358008,29303.34169921875,,,49.02590502585282,-6.7793518487414985,-35.37164607791528,28.59229422917378,29303.34169921875,29698.415583940096,28908.2678144974,0.026964425339372128,0.0067411063348430614,12097987391.2,0.5120155781039859,0,0,-1,0.0006207965516027425,0.0,1.0,0.9852428538533194,100000.0,100000.0,0.0
2023-08-13,29282.9140625,29441.43359375,29265.806640625,29416.59375,7329897180,29308.6416015625,,,45.689420870915214,-12.699469309769484,-30.82622055974602,18.126751249976536,29308.6416015625,29699.394743158675,28917.888459966325,0.026664705031934542,0.006666176257983642,11694691380.45,0.6267713222645087,0,0,-1,-0.004523080645381872,-0.0,1.0,0.9807865209700547,100000.0,100000.0,0.0
2023-08-14,29408.443359375,29660.25390625,29124.10546875,29283.263671875,14013695304,29317.69423828125,,,49.201971971906644,-8.191615900788747,-26.29052631935122,18.098910418562472,29317.69423828125,29708.91035810801,28926.478118454488,0.02668805511423435,0.006672013778558576,11882037506.0,1.1794017058878656,0,0,-1,0.004286776125049352,0.0,1.0,0.9849909332119193,100000.0,100000.0,0.0
